region_code, weather_param, year, key, value
UK,Sunshine,1986,April,125.8
UK,Sunshine,1986,May,169.4
UK,Sunshine,1986,June,192.1
UK,Sunshine,1986,July,144.8
UK,Sunshine,1986,August,129.1
UK,Sunshine,1986,September,149.4
UK,Sunshine,1986,October,100.5
UK,Sunshine,1986,November,61.9
UK,Sunshine,1986,December,39.9
UK,Sunshine,1987,Jan,44.0
UK,Sunshine,1987,Feb,62.0
UK,Sunshine,1987,March,97.3
UK,Sunshine,1987,April,137.6
UK,Sunshine,1987,May,180.9
UK,Sunshine,1987,June,115.8
UK,Sunshine,1987,July,145.5
UK,Sunshine,1987,August,140.6
UK,Sunshine,1987,September,141.6
UK,Sunshine,1987,October,94.4
UK,Sunshine,1987,November,45.7
UK,Sunshine,1987,December,28.6
UK,Sunshine,1988,Jan,45.5
UK,Sunshine,1988,Feb,87.0
UK,Sunshine,1988,March,88.6
UK,Sunshine,1988,April,128.1
UK,Sunshine,1988,May,189.9
UK,Sunshine,1988,June,169.8
UK,Sunshine,1988,July,129.8
UK,Sunshine,1988,August,150.9
UK,Sunshine,1988,September,124.1
UK,Sunshine,1988,October,87.0
UK,Sunshine,1988,November,74.1
UK,Sunshine,1988,December,32.2
UK,Sunshine,1989,Jan,50.6
UK,Sunshine,1989,Feb,81.7
UK,Sunshine,1989,March,100.3
UK,Sunshine,1989,April,130.5
UK,Sunshine,1989,May,241.7
UK,Sunshine,1989,June,210.4
UK,Sunshine,1989,July,243.5
UK,Sunshine,1989,August,189.4
UK,Sunshine,1989,September,116.3
UK,Sunshine,1989,October,78.9
UK,Sunshine,1989,November,73.4
UK,Sunshine,1989,December,27.2
UK,Sunshine,1990,Jan,45.1
UK,Sunshine,1990,Feb,66.4
UK,Sunshine,1990,March,112.4
UK,Sunshine,1990,April,185.7
UK,Sunshine,1990,May,223.4
UK,Sunshine,1990,June,121.0
UK,Sunshine,1990,July,238.7
UK,Sunshine,1990,August,173.9
UK,Sunshine,1990,September,127.1
UK,Sunshine,1990,October,84.2
UK,Sunshine,1990,November,56.4
UK,Sunshine,1990,December,36.8
UK,Sunshine,1991,Jan,57.4
UK,Sunshine,1991,Feb,58.8
UK,Sunshine,1991,March,80.1
UK,Sunshine,1991,April,146.4
UK,Sunshine,1991,May,145.6
UK,Sunshine,1991,June,132.5
UK,Sunshine,1991,July,166.6
UK,Sunshine,1991,August,183.3
UK,Sunshine,1991,September,159.8
UK,Sunshine,1991,October,74.2
UK,Sunshine,1991,November,47.0
UK,Sunshine,1991,December,33.9
UK,Sunshine,1992,Jan,45.2
UK,Sunshine,1992,Feb,59.1
UK,Sunshine,1992,March,69.8
UK,Sunshine,1992,April,110.1
UK,Sunshine,1992,May,233.4
UK,Sunshine,1992,June,192.8
UK,Sunshine,1992,July,142.2
UK,Sunshine,1992,August,150.6
UK,Sunshine,1992,September,102.4
UK,Sunshine,1992,October,84.0
UK,Sunshine,1992,November,49.7
UK,Sunshine,1992,December,34.9
UK,Sunshine,1993,Jan,31.8
UK,Sunshine,1993,Feb,41.9
UK,Sunshine,1993,March,104.7
UK,Sunshine,1993,April,111.4
UK,Sunshine,1993,May,159.7
UK,Sunshine,1993,June,160.2
UK,Sunshine,1993,July,144.5
UK,Sunshine,1993,August,160.5
UK,Sunshine,1993,September,102.4
UK,Sunshine,1993,October,96.2
UK,Sunshine,1993,November,53.5
UK,Sunshine,1993,December,35.2
UK,Sunshine,1994,Jan,50.1
UK,Sunshine,1994,Feb,58.6
UK,Sunshine,1994,March,103.5
UK,Sunshine,1994,April,152.3
UK,Sunshine,1994,May,167.6
UK,Sunshine,1994,June,180.5
UK,Sunshine,1994,July,190.9
UK,Sunshine,1994,August,153.1
UK,Sunshine,1994,September,108.2
UK,Sunshine,1994,October,100.4
UK,Sunshine,1994,November,40.6
UK,Sunshine,1994,December,43.3
UK,Sunshine,1995,Jan,42.4
UK,Sunshine,1995,Feb,66.2
UK,Sunshine,1995,March,131.1
UK,Sunshine,1995,April,155.1
UK,Sunshine,1995,May,190.3
UK,Sunshine,1995,June,204.6
UK,Sunshine,1995,July,206.9
UK,Sunshine,1995,August,250.4
UK,Sunshine,1995,September,119.8
UK,Sunshine,1995,October,103.9
UK,Sunshine,1995,November,57.0
UK,Sunshine,1995,December,38.6
UK,Sunshine,1996,Jan,20.5
UK,Sunshine,1996,Feb,82.1
UK,Sunshine,1996,March,62.4
UK,Sunshine,1996,April,119.6
UK,Sunshine,1996,May,176.1
UK,Sunshine,1996,June,218.7
UK,Sunshine,1996,July,190.7
UK,Sunshine,1996,August,163.5
UK,Sunshine,1996,September,137.8
UK,Sunshine,1996,October,91.2
UK,Sunshine,1996,November,73.9
UK,Sunshine,1996,December,41.8
UK,Sunshine,1997,Jan,40.5
UK,Sunshine,1997,Feb,62.5
UK,Sunshine,1997,March,113.0
UK,Sunshine,1997,April,139.7
UK,Sunshine,1997,May,210.2
UK,Sunshine,1997,June,137.0
UK,Sunshine,1997,July,193.8
UK,Sunshine,1997,August,179.1
UK,Sunshine,1997,September,146.0
UK,Sunshine,1997,October,113.9
UK,Sunshine,1997,November,40.1
UK,Sunshine,1997,December,34.0
